"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"266","Luiz Gustavo (ZAG)","Vasco","5,04",7,"2,56","0,00","0,00",12,0,0,2,3,2,0,0,0,0,0,0,2,0,0,7,0,19
"267","Mansur (LAT)","Paraná","4,93",8,"2,52","2,40","0,08",8,0,0,3,7,3,3,1,0,0,0,1,1,0,0,15,0,16
"268","Jeferson (LAT)","Vitória","4,51",12,"2,52","0,00","0,00",18,0,1,3,7,1,1,0,0,0,0,0,4,0,0,13,1,24
"269","Denilson (ATA)","Atlético-MG","8,41",7,"2,52","0,00","0,00",3,2,0,0,5,5,1,0,0,0,0,0,0,0,0,11,3,12
"270","Bruno Silva (MEI)","Cruzeiro","6,90",10,"2,51","3,80","0,64",10,1,1,0,2,9,1,0,0,0,0,0,2,0,0,11,0,9
"271","Paulinho (ATA)","São Paulo","1,29",1,"2,50","0,00","0,00",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"272","Régis (MEI)","Bahia","4,52",13,"2,50","0,00","0,00",10,2,1,0,10,5,2,1,0,0,0,0,2,0,0,11,0,28
"273","Jandrei (GOL)","Chapecoense","5,29",15,"2,50","-2,00","-1,19",1,0,0,5,2,0,0,0,19,0,0,0,1,0,21,0,0,10
"274","David Braz (ZAG)","Santos","9,19",12,"2,48","0,00","0,00",16,0,0,3,7,5,0,0,0,0,0,0,3,0,0,10,0,19
"275","Caio Henrique (MEI)","Paraná","4,63",15,"2,47","0,60","-0,89",16,0,3,0,10,8,3,0,0,0,0,0,1,0,0,10,2,30
"276","Jefferson (GOL)","Botafogo","8,15",12,"2,46","0,00","0,00",0,0,1,2,1,0,0,0,16,0,0,0,0,0,16,0,0,7
"277","Michel Bastos (MEI)","Sport","5,02",9,"2,45","3,50","0,17",1,2,0,0,8,7,2,1,0,0,0,0,1,0,0,6,0,18
"278","Jean (LAT)","Palmeiras","5,56",4,"2,45","0,00","0,00",3,0,0,1,2,0,1,1,0,0,0,0,1,0,0,4,0,3
"279","Judivan  (ATA)","América-MG","3,22",7,"2,45","0,00","0,00",3,0,1,0,6,4,6,0,0,0,0,0,0,0,0,9,0,4
"280","Jadson (MEI)","Corinthians","7,02",8,"2,43","1,50","-0,53",2,1,2,0,1,2,1,1,0,0,0,0,0,0,0,5,0,18
"281","Thiago Santos (ATA)","Paraná","1,64",6,"2,43","0,00","0,00",1,1,1,0,8,6,0,2,0,0,0,0,2,0,0,11,5,9
"282","Gum (ZAG)","Fluminense","6,36",11,"2,42","8,80","1,66",10,0,1,3,4,3,1,0,0,0,0,0,0,0,0,13,0,25
"283","Jadson (MEI)","Fluminense","7,99",14,"2,41","-0,30","-0,15",27,0,1,0,21,5,4,0,0,0,0,0,3,0,0,22,1,45
"284","Geuvânio (ATA)","Flamengo","5,15",4,"2,40","5,10","0,12",6,0,1,0,1,1,3,0,0,0,0,0,2,0,0,6,1,6
"285","Bryan (LAT)","Vitória","5,37",2,"2,40","0,00","0,00",1,0,1,1,7,1,0,0,0,0,0,1,0,0,0,6,0,10
"286","Messias (ZAG)","América-MG","7,80",15,"2,40","-0,30","0,09",14,1,0,3,10,3,2,0,0,0,0,0,1,0,0,13,0,31
"287","Nicolas (LAT)","Atlético-PR","3,53",1,"2,40","0,00","0,00",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"288","Leandro Pereira (ATA)","Chapecoense","6,52",13,"2,39","3,40","0,57",11,2,0,0,18,7,5,1,0,0,0,1,1,0,0,23,9,7
"289","Sornoza (MEI)","Fluminense","7,75",14,"2,39","0,00","0,00",16,0,1,0,8,11,10,0,0,0,0,0,3,0,0,7,0,36
"290","Ezequiel (ATA)","Botafogo","4,59",6,"2,37","0,00","-0,43",4,0,1,0,4,3,1,0,0,0,0,0,0,0,0,3,0,3
"291","Rayan (ZAG)","Paraná","3,66",9,"2,37","0,00","0,00",15,0,0,1,10,3,1,0,0,0,0,0,3,0,0,9,2,11
"292","Camilo (MEI)","Internacional","4,23",4,"2,35","4,70","0,79",1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8
"293","Werley (ZAG)","Vasco","5,87",6,"2,35","0,00","0,00",9,0,0,1,5,3,2,0,0,0,1,0,0,0,0,8,0,9
