"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"274","Gilson Kleina (TEC)","Chapecoense","5,22",1,"1,58","1,58","-0,78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Apodi (LAT)","Chapecoense","5,86",1,"1,50","1,50","-1,14",1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"276","Rafael Sobis (ATA)","Cruzeiro","6,54",1,"1,50","1,50","-1,46",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"277","Sidcley (LAT)","Corinthians","6,54",1,"1,50","1,50","-1,46",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"278","Marco Antônio (MEI)","Bahia","1,72",1,"1,50","1,50","0,72",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Michel (MEI)","Grêmio","5,17",1,"1,50","1,50","-0,83",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Jesiel (ZAG)","Paraná","3,10",1,"1,50","1,50","0,10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Diego (ATA)","Paraná","4,48",1,"1,50","1,50","-0,52",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"282","Rogério Micale (TEC)","Paraná","3,78",1,"1,49","1,49","-0,22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Roger Machado  (TEC)","Palmeiras","9,96",1,"1,45","1,45","-3,04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
